file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/wakatime.test.js,Duplicate Assert,"{'line': 138, 'column': 4, 'index': 3543}","  136 |     await wakatime(req, res);
      |      ^ Lazy Test
  146 |         message: error.errors[0].message,
  147 |         secondaryMessage:
  148 |           ""Make sure the provided username is not an organization"","
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Lazy Test,"{'line': 170, 'column': 6, 'index': 4043}","  168 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
  169 |     expect(res.send).toHaveBeenCalledWith(
> 170 |       renderError({
      |      ^ Lazy Test
  171 |         message: ""Something went wrong"",
  172 |         secondaryMessage: ""Incorrect layout input"",
  173 |       }),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Lazy Test,"{'line': 193, 'column': 6, 'index': 4641}","  191 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
  192 |     expect(res.send).toHaveBeenCalledWith(
> 193 |       renderError({
      |      ^ Lazy Test
  194 |         message: ""This username is blacklisted"",
  195 |         secondaryMessage: ""Please deploy your own instance"",
  196 |         renderOptions: { show_repo_link: false },"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/top-langs.test.js,Lazy Test,"{'line': 218, 'column': 6, 'index': 5329}","  216 |     expect(res.setHeader).toHaveBeenCalledWith(""Content-Type"", ""image/svg+xml"");
  217 |     expect(res.send).toHaveBeenCalledWith(
> 218 |       renderError({
      |      ^ Lazy Test
  219 |         message: ""Something went wrong"",
  220 |         secondaryMessage: ""Locale not found"",
  221 |       }),"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,Conditional Test Logic,"{'line': 23, 'column': 4, 'index': 639}","  21 |     // faking rate limit
  22 |     // @ts-ignore
> 23 |     if (retries < 1) {
     |    ^ Conditional Test Logic
  24 |       return res({ data: { errors: [{ type: ""RATE_LIMITED"" }] } });
  25 |     }
  26 |     return res({ data: ""ok"" });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,Conditional Test Logic,"{'line': 35, 'column': 6, 'index': 951}","  33 |       // faking rate limit
  34 |       // @ts-ignore
> 35 |       if (retries < 1) {
     |      ^ Conditional Test Logic
  36 |         return res({
  37 |           data: {
  38 |             errors: ["
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,Exception Handling,"{'line': 75, 'column': 4, 'index': 2178}","  73 |
  74 |   it(""retryer should throw specific error if maximum retries reached"", async () => {
> 75 |     try {
     |    ^ Exception Handling
  76 |       await retryer(fetcherFail, {});
  77 |     } catch (err) {
  78 |       expect(fetcherFail).toHaveBeenCalledTimes(RETRIES + 1);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,Lazy Test,"{'line': 54, 'column': 20, 'index': 1412}","  52 | describe(""Test Retryer"", () => {
  53 |   it(""retryer should return value and have zero retries on first try"", async () => {
> 54 |     let res = await retryer(fetcher, {});
     |                    ^ Lazy Test
  55 |
  56 |     expect(fetcher).toHaveBeenCalledTimes(1);
  57 |     expect(res).toStrictEqual({ data: ""ok"" });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,Lazy Test,"{'line': 61, 'column': 20, 'index': 1624}","  59 |
  60 |   it(""retryer should return value and have 2 retries"", async () => {
> 61 |     let res = await retryer(fetcherFailOnSecondTry, {});
     |                    ^ Lazy Test
  62 |
  63 |     expect(fetcherFailOnSecondTry).toHaveBeenCalledTimes(2);
  64 |     expect(res).toStrictEqual({ data: ""ok"" });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,Lazy Test,"{'line': 68, 'column': 20, 'index': 1902}","  66 |
  67 |   it(""retryer should return value and have 2 retries with message based rate limit error"", async () => {
> 68 |     let res = await retryer(fetcherFailWithMessageBasedRateLimitErr, {});
     |                    ^ Lazy Test
  69 |
  70 |     expect(fetcherFailWithMessageBasedRateLimitErr).toHaveBeenCalledTimes(2);
  71 |     expect(res).toStrictEqual({ data: ""ok"" });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/retryer.test.js,Lazy Test,"{'line': 76, 'column': 12, 'index': 2196}","  74 |   it(""retryer should throw specific error if maximum retries reached"", async () => {
  75 |     try {
> 76 |       await retryer(fetcherFail, {});
     |            ^ Lazy Test
  77 |     } catch (err) {
  78 |       expect(fetcherFail).toHaveBeenCalledTimes(RETRIES + 1);
  79 |       // @ts-ignore"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Duplicate Assert,"{'line': 53, 'column': 4, 'index': 1771}","  51 |       border_radius: ""0"",
  52 |     });
> 53 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""0"");
     |    ^ Duplicate Assert
  54 |     document.body.innerHTML = renderWakatimeCard(wakaTimeData.data, {});
  55 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""4.5"");
  56 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Duplicate Assert,"{'line': 55, 'column': 4, 'index': 1915}","  53 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""0"");
  54 |     document.body.innerHTML = renderWakatimeCard(wakaTimeData.data, {});
> 55 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""4.5"");
     |    ^ Duplicate Assert
  56 |   });
  57 |
  58 |   it('should show ""no coding activity this week"" message when there has not been activity', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Eager Test,"{'line': 50, 'column': 30, 'index': 1693}","  48 |
  49 |   it(""should render without rounding"", () => {
> 50 |     document.body.innerHTML = renderWakatimeCard(wakaTimeData.data, {
     |                              ^ Eager Test
  51 |       border_radius: ""0"",
  52 |     });
  53 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""0"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Eager Test,"{'line': 54, 'column': 30, 'index': 1868}","  52 |     });
  53 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""0"");
> 54 |     document.body.innerHTML = renderWakatimeCard(wakaTimeData.data, {});
     |                              ^ Eager Test
  55 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""4.5"");
  56 |   });
  57 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 9, 'column': 17, 'index': 367}","   7 | describe(""Test Render WakaTime Card"", () => {
   8 |   it(""should render correctly"", () => {
>  9 |     const card = renderWakatimeCard(wakaTimeData.data);
     |                 ^ Lazy Test
  10 |     expect(card).toMatchSnapshot();
  11 |   });
  12 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 14, 'column': 17, 'index': 526}","  12 |
  13 |   it(""should render correctly with compact layout"", () => {
> 14 |     const card = renderWakatimeCard(wakaTimeData.data, { layout: ""compact"" });
     |                 ^ Lazy Test
  15 |
  16 |     expect(card).toMatchSnapshot();
  17 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 20, 'column': 17, 'index': 733}","  18 |
  19 |   it(""should render correctly with compact layout when langs_count is set"", () => {
> 20 |     const card = renderWakatimeCard(wakaTimeData.data, {
     |                 ^ Lazy Test
  21 |       layout: ""compact"",
  22 |       langs_count: 2,
  23 |     });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 29, 'column': 30, 'index': 960}","  27 |
  28 |   it(""should hide languages when hide is passed"", () => {
> 29 |     document.body.innerHTML = renderWakatimeCard(wakaTimeData.data, {
     |                              ^ Lazy Test
  30 |       hide: [""YAML"", ""Other""],
  31 |     });
  32 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 39, 'column': 30, 'index': 1317}","  37 |
  38 |   it(""should render translations"", () => {
> 39 |     document.body.innerHTML = renderWakatimeCard({}, { locale: ""cn"" });
     |                              ^ Lazy Test
  40 |     expect(document.getElementsByClassName(""header"")[0].textContent).toBe(
  41 |       ""WakaTime 周统计"",
  42 |     );"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 50, 'column': 30, 'index': 1693}","  48 |
  49 |   it(""should render without rounding"", () => {
> 50 |     document.body.innerHTML = renderWakatimeCard(wakaTimeData.data, {
     |                              ^ Lazy Test
  51 |       border_radius: ""0"",
  52 |     });
  53 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""0"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 59, 'column': 30, 'index': 2121}","  57 |
  58 |   it('should show ""no coding activity this week"" message when there has not been activity', () => {
> 59 |     document.body.innerHTML = renderWakatimeCard(
     |                              ^ Lazy Test
  60 |       {
  61 |         ...wakaTimeData.data,
  62 |         languages: undefined,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 72, 'column': 30, 'index': 2504}","  70 |
  71 |   it('should show ""no coding activity this week"" message when using compact layout and there has not been activity', () => {
> 72 |     document.body.innerHTML = renderWakatimeCard(
     |                              ^ Lazy Test
  73 |       {
  74 |         ...wakaTimeData.data,
  75 |         languages: undefined,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderWakatimeCard.test.js,Lazy Test,"{'line': 87, 'column': 17, 'index': 2851}","  85 |
  86 |   it(""should render correctly with percent display format"", () => {
> 87 |     const card = renderWakatimeCard(wakaTimeData.data, {
     |                 ^ Lazy Test
  88 |       display_format: ""percent"",
  89 |     });
  90 |     expect(card).toMatchSnapshot();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Conditional Test Logic,"{'line': 71, 'column': 2, 'index': 1891}","  69 |   let startAngle =
  70 |     cartesianToPolar(centerX, centerY, dTmp[7], dTmp[8]).angleInDegrees + 90;
> 71 |   if (startAngle > endAngle) {
     |  ^ Conditional Test Logic
  72 |     startAngle -= 360;
  73 |   }
  74 |   return (endAngle - startAngle) / 3.6;"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 390, 'column': 4, 'index': 13237}","  388 |       hide: [""HTML""],
  389 |     });
> 390 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toBeInTheDocument(
      |    ^ Duplicate Assert
  391 |       ""javascript"",
  392 |     );
  393 |     expect(queryAllByTestId(document.body, ""lang-name"")[1]).toBeInTheDocument("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 393, 'column': 4, 'index': 13343}","  391 |       ""javascript"",
  392 |     );
> 393 |     expect(queryAllByTestId(document.body, ""lang-name"")[1]).toBeInTheDocument(
      |    ^ Duplicate Assert
  394 |       ""css"",
  395 |     );
  396 |     expect(queryAllByTestId(document.body, ""lang-name"")[2]).not.toBeDefined();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 402, 'column': 4, 'index': 13650}","  400 |       hide: [""HTML"", ""css""],
  401 |     });
> 402 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toBeInTheDocument(
      |    ^ Duplicate Assert
  403 |       ""javascript"",
  404 |     );
  405 |     expect(queryAllByTestId(document.body, ""lang-name"")[1]).not.toBeDefined();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 405, 'column': 4, 'index': 13756}","  403 |       ""javascript"",
  404 |     );
> 405 |     expect(queryAllByTestId(document.body, ""lang-name"")[1]).not.toBeDefined();
      |    ^ Duplicate Assert
  406 |   });
  407 |
  408 |   it(""should resize the height correctly depending on langs"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 410, 'column': 4, 'index': 13973}","  408 |   it(""should resize the height correctly depending on langs"", () => {
  409 |     document.body.innerHTML = renderTopLanguages(langs, {});
> 410 |     expect(document.querySelector(""svg"")).toHaveAttribute(""height"", ""205"");
      |    ^ Duplicate Assert
  411 |
  412 |     document.body.innerHTML = renderTopLanguages(
  413 |       {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 423, 'column': 4, 'index': 14253}","  421 |       {},
  422 |     );
> 423 |     expect(document.querySelector(""svg"")).toHaveAttribute(""height"", ""245"");
      |    ^ Duplicate Assert
  424 |   });
  425 |
  426 |   it(""should render with custom width set"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 429, 'column': 4, 'index': 14450}","  427 |     document.body.innerHTML = renderTopLanguages(langs, {});
  428 |
> 429 |     expect(document.querySelector(""svg"")).toHaveAttribute(""width"", ""300"");
      |    ^ Duplicate Assert
  430 |
  431 |     document.body.innerHTML = renderTopLanguages(langs, { card_width: 400 });
  432 |     expect(document.querySelector(""svg"")).toHaveAttribute(""width"", ""400"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 432, 'column': 4, 'index': 14604}","  430 |
  431 |     document.body.innerHTML = renderTopLanguages(langs, { card_width: 400 });
> 432 |     expect(document.querySelector(""svg"")).toHaveAttribute(""width"", ""400"");
      |    ^ Duplicate Assert
  433 |   });
  434 |
  435 |   it(""should render with min width"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 438, 'column': 4, 'index': 14810}","  436 |     document.body.innerHTML = renderTopLanguages(langs, { card_width: 190 });
  437 |
> 438 |     expect(document.querySelector(""svg"")).toHaveAttribute(
      |    ^ Duplicate Assert
  439 |       ""width"",
  440 |       MIN_CARD_WIDTH.toString(),
  441 |     );"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 444, 'column': 4, 'index': 15003}","  442 |
  443 |     document.body.innerHTML = renderTopLanguages(langs, { card_width: 100 });
> 444 |     expect(document.querySelector(""svg"")).toHaveAttribute(
      |    ^ Duplicate Assert
  445 |       ""width"",
  446 |       MIN_CARD_WIDTH.toString(),
  447 |     );"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 572, 'column': 4, 'index': 19172}","  570 |     );
  571 |
> 572 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toHaveTextContent(
      |    ^ Duplicate Assert
  573 |       ""HTML 40.00%"",
  574 |     );
  575 |     expect(queryAllByTestId(document.body, ""lang-donut"")[0]).toHaveAttribute("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 575, 'column': 4, 'index': 19279}","  573 |       ""HTML 40.00%"",
  574 |     );
> 575 |     expect(queryAllByTestId(document.body, ""lang-donut"")[0]).toHaveAttribute(
      |    ^ Duplicate Assert
  576 |       ""size"",
  577 |       ""40"",
  578 |     );"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 625, 'column': 4, 'index': 20932}","  623 |       { layout: ""donut"" },
  624 |     );
> 625 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toHaveTextContent(
      |    ^ Duplicate Assert
  626 |       ""HTML 100.00%"",
  627 |     );
  628 |     expect(queryAllByTestId(document.body, ""lang-donut"")[0]).toHaveAttribute("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 628, 'column': 4, 'index': 21040}","  626 |       ""HTML 100.00%"",
  627 |     );
> 628 |     expect(queryAllByTestId(document.body, ""lang-donut"")[0]).toHaveAttribute(
      |    ^ Duplicate Assert
  629 |       ""size"",
  630 |       ""100"",
  631 |     );"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 742, 'column': 4, 'index': 24595}","  740 |     );
  741 |
> 742 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toHaveTextContent(
      |    ^ Duplicate Assert
  743 |       ""HTML 40.00%"",
  744 |     );
  745 |     expect(queryAllByTestId(document.body, ""lang-pie"")[0]).toHaveAttribute("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 745, 'column': 4, 'index': 24702}","  743 |       ""HTML 40.00%"",
  744 |     );
> 745 |     expect(queryAllByTestId(document.body, ""lang-pie"")[0]).toHaveAttribute(
      |    ^ Duplicate Assert
  746 |       ""size"",
  747 |       ""40"",
  748 |     );"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 796, 'column': 4, 'index': 26332}","  794 |       { layout: ""pie"" },
  795 |     );
> 796 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toHaveTextContent(
      |    ^ Duplicate Assert
  797 |       ""HTML 100.00%"",
  798 |     );
  799 |     expect(queryAllByTestId(document.body, ""lang-pie"")[0]).toHaveAttribute("
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 799, 'column': 4, 'index': 26440}","  797 |       ""HTML 100.00%"",
  798 |     );
> 799 |     expect(queryAllByTestId(document.body, ""lang-pie"")[0]).toHaveAttribute(
      |    ^ Duplicate Assert
  800 |       ""size"",
  801 |       ""100"",
  802 |     );"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 818, 'column': 4, 'index': 27083}","  816 |   it(""should render without rounding"", () => {
  817 |     document.body.innerHTML = renderTopLanguages(langs, { border_radius: ""0"" });
> 818 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""0"");
      |    ^ Duplicate Assert
  819 |     document.body.innerHTML = renderTopLanguages(langs, {});
  820 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""4.5"");
  821 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 820, 'column': 4, 'index': 27215}","  818 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""0"");
  819 |     document.body.innerHTML = renderTopLanguages(langs, {});
> 820 |     expect(document.querySelector(""rect"")).toHaveAttribute(""rx"", ""4.5"");
      |    ^ Duplicate Assert
  821 |   });
  822 |
  823 |   it(""should render langs with specified langs_count"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 857, 'column': 4, 'index': 28368}","  855 |     });
  856 |
> 857 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toHaveTextContent(
      |    ^ Duplicate Assert
  858 |       ""HTML 40.00%"",
  859 |     );
  860 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 861, 'column': 4, 'index': 28476}","  859 |     );
  860 |
> 861 |     expect(queryAllByTestId(document.body, ""lang-name"")[1]).toHaveTextContent(
      |    ^ Duplicate Assert
  862 |       ""javascript 40.00%"",
  863 |     );
  864 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 865, 'column': 4, 'index': 28590}","  863 |     );
  864 |
> 865 |     expect(queryAllByTestId(document.body, ""lang-name"")[2]).toHaveTextContent(
      |    ^ Duplicate Assert
  866 |       ""css 20.00%"",
  867 |     );
  868 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 874, 'column': 4, 'index': 28818}","  872 |     });
  873 |
> 874 |     expect(queryAllByTestId(document.body, ""lang-name"")[0]).toHaveTextContent(
      |    ^ Duplicate Assert
  875 |       ""HTML 200.0 B"",
  876 |     );
  877 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 878, 'column': 4, 'index': 28927}","  876 |     );
  877 |
> 878 |     expect(queryAllByTestId(document.body, ""lang-name"")[1]).toHaveTextContent(
      |    ^ Duplicate Assert
  879 |       ""javascript 200.0 B"",
  880 |     );
  881 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Duplicate Assert,"{'line': 882, 'column': 4, 'index': 29042}","  880 |     );
  881 |
> 882 |     expect(queryAllByTestId(document.body, ""lang-name"")[2]).toHaveTextContent(
      |    ^ Duplicate Assert
  883 |       ""css 100.0 B"",
  884 |     );
  885 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Eager Test,"{'line': 123, 'column': 11, 'index': 3322}","  121 |
  122 |   it(""degreesToRadians"", () => {
> 123 |     expect(degreesToRadians(0)).toBe(0);
      |           ^ Eager Test
  124 |     expect(degreesToRadians(90)).toBe(Math.PI / 2);
  125 |     expect(degreesToRadians(180)).toBe(Math.PI);
  126 |     expect(degreesToRadians(270)).toBe((3 * Math.PI) / 2);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Eager Test,"{'line': 124, 'column': 11, 'index': 3363}","  122 |   it(""degreesToRadians"", () => {
  123 |     expect(degreesToRadians(0)).toBe(0);
> 124 |     expect(degreesToRadians(90)).toBe(Math.PI / 2);
      |           ^ Eager Test
  125 |     expect(degreesToRadians(180)).toBe(Math.PI);
  126 |     expect(degreesToRadians(270)).toBe((3 * Math.PI) / 2);
  127 |     expect(degreesToRadians(360)).toBe(2 * Math.PI);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Eager Test,"{'line': 125, 'column': 11, 'index': 3415}","  123 |     expect(degreesToRadians(0)).toBe(0);
  124 |     expect(degreesToRadians(90)).toBe(Math.PI / 2);
> 125 |     expect(degreesToRadians(180)).toBe(Math.PI);
      |           ^ Eager Test
  126 |     expect(degreesToRadians(270)).toBe((3 * Math.PI) / 2);
  127 |     expect(degreesToRadians(360)).toBe(2 * Math.PI);
  128 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/github-readme-stats/tests/renderTopLanguagesCard.test.js,Eager Test,"{'line': 126, 'column': 11, 'index': 3464}","  124 |     expect(degreesToRadians(90)).toBe(Math.PI / 2);
  125 |     expect(degreesToRadians(180)).toBe(Math.PI);
> 126 |     expect(degreesToRadians(270)).toBe((3 * Math.PI) / 2);
      |           ^ Eager Test
